"","cp","prov","month","location","unemployement","men_s24","men_b24_44","men_g44","women_s24","women_b24_44","women_g44","agriculture","industry","construction","services","previously_unemployed"
"1",15001,"CORUÑA A","Abril","ABEGONDO",272,8,46,77,6,67,68,6,43,25,186,12
"2",15002,"CORUÑA A","Abril","AMES",2210,48,414,474,52,656,566,27,143,136,1744,160
"3",15003,"CORUÑA A","Abril","ARANGA",63,NA,12,27,1,15,8,4,6,4,45,4
"4",15004,"CORUÑA A","Abril","ARES",416,8,73,105,9,109,112,7,44,57,279,29
"5",15005,"CORUÑA A","Abril","ARTEIXO",2592,70,521,574,60,659,708,26,364,287,1758,157
"6",15006,"CORUÑA A","Abril","ARZUA",291,4,45,81,5,72,84,18,39,29,187,18
"7",15007,"CORUÑA A","Abril","BAÑA, A",207,2,27,77,1,53,47,15,24,32,126,10
"8",15008,"CORUÑA A","Abril","BERGONDO",400,7,66,117,8,83,119,5,28,42,302,23
"9",15009,"CORUÑA A","Abril","BETANZOS",860,21,168,208,24,207,232,17,83,72,626,62
"10",15010,"CORUÑA A","Abril","BOIMORTO",82,2,9,27,3,15,26,9,7,12,49,5
"11",15011,"CORUÑA A","Abril","BOIRO",1154,51,238,243,41,315,266,65,169,114,747,59
"12",15012,"CORUÑA A","Abril","BOQUEIXON",206,3,47,45,7,55,49,6,17,16,154,13
"13",15013,"CORUÑA A","Abril","BRION",447,11,79,122,8,117,110,7,41,53,320,26
"14",15014,"CORUÑA A","Abril","CABANA DE BERGANTIÑOS",279,8,31,79,6,57,98,8,65,37,153,16
"15",15015,"CORUÑA A","Abril","CABANAS",203,3,41,67,4,38,50,4,22,25,136,16
"16",15016,"CORUÑA A","Abril","CAMARIÑAS",371,18,43,78,8,91,133,27,36,47,239,22
"17",15017,"CORUÑA A","Abril","CAMBRE",1696,36,293,415,29,386,537,19,203,141,1245,88
"18",15018,"CORUÑA A","Abril","CAPELA, A",51,0,9,19,1,11,11,1,9,5,35,1
"19",15019,"CORUÑA A","Abril","CARBALLO",2772,71,419,614,72,704,892,42,677,489,1412,152
"20",15901,"CORUÑA A","Abril","CARIÑO",208,5,34,60,1,45,63,13,18,20,144,13
"21",15020,"CORUÑA A","Abril","CARNOTA",249,5,32,77,3,42,90,18,41,36,147,7
"22",15021,"CORUÑA A","Abril","CARRAL",370,13,70,86,9,108,84,11,73,32,233,21
"23",15022,"CORUÑA A","Abril","CEDEIRA",410,7,75,100,5,114,109,26,35,29,287,33
"24",15023,"CORUÑA A","Abril","CEE",615,15,102,140,10,172,176,28,74,54,423,36
"25",15024,"CORUÑA A","Abril","CERCEDA",202,9,42,41,3,46,61,7,42,33,115,5
"26",15025,"CORUÑA A","Abril","CERDIDO",57,0,10,23,0,14,10,7,7,6,35,2
"27",15026,"CORUÑA A","Abril","CESURAS",107,1,19,41,4,18,24,9,7,16,72,3
"28",15027,"CORUÑA A","Abril","COIROS",90,4,14,23,2,25,22,2,6,4,75,3
"29",15028,"CORUÑA A","Abril","CORCUBION",125,4,20,36,4,30,31,2,11,11,94,7
"30",15029,"CORUÑA A","Abril","CORISTANCO",499,9,57,152,8,105,168,20,133,104,213,29
"31",15030,"CORUÑA A","Abril","CORUÑA, A",19145,431,3731,4525,502,4596,5360,245,1373,1398,14400,1729
"32",15031,"CORUÑA A","Abril","CULLEREDO",2259,69,416,510,55,556,653,14,224,201,1659,161
"33",15032,"CORUÑA A","Abril","CURTIS",209,5,34,50,6,53,61,8,23,16,151,11
"34",15033,"CORUÑA A","Abril","DODRO",195,3,28,58,3,36,67,9,45,16,118,7
"35",15034,"CORUÑA A","Abril","DUMBRIA",248,9,40,46,2,63,88,7,31,23,178,9
"36",15035,"CORUÑA A","Abril","FENE",903,19,201,253,11,179,240,14,108,129,596,56
"37",15036,"CORUÑA A","Abril","FERROL",5587,129,1108,1307,168,1270,1605,149,503,529,3780,626
"38",15037,"CORUÑA A","Abril","FISTERRA",382,6,64,82,12,96,122,19,16,26,297,24
"39",15038,"CORUÑA A","Abril","FRADES",114,7,16,37,1,24,29,6,16,15,71,6
"40",15039,"CORUÑA A","Abril","IRIXOA",65,4,13,24,0,11,13,4,6,6,46,3
"41",15041,"CORUÑA A","Abril","LARACHA, A",719,18,104,173,20,176,228,20,139,86,442,32
"42",15040,"CORUÑA A","Abril","LAXE",233,6,21,64,2,53,87,3,31,36,148,15
"43",15042,"CORUÑA A","Abril","LOUSAME",183,8,39,55,3,42,36,12,26,32,103,10
"44",15043,"CORUÑA A","Abril","MALPICA DE BERGANTIÑOS",318,3,49,70,7,59,130,10,100,33,164,11
"45",15044,"CORUÑA A","Abril","MAÑON",51,1,9,11,2,12,16,5,3,4,39,0
"46",15045,"CORUÑA A","Abril","MAZARICOS",175,5,25,66,6,38,35,12,18,49,94,2
"47",15046,"CORUÑA A","Abril","MELIDE",419,9,68,113,12,88,129,28,45,38,275,33
"48",15047,"CORUÑA A","Abril","MESIA",107,3,17,36,1,21,29,12,26,13,48,8
"49",15048,"CORUÑA A","Abril","MIÑO",381,10,77,96,8,89,101,4,35,38,278,26
"50",15049,"CORUÑA A","Abril","MOECHE",58,2,11,15,2,14,14,3,10,2,43,0
"51",15050,"CORUÑA A","Abril","MONFERO",68,1,14,27,0,16,10,7,6,17,34,4
"52",15051,"CORUÑA A","Abril","MUGARDOS",407,11,75,113,10,106,92,12,42,52,272,29
"53",15053,"CORUÑA A","Abril","MUROS",513,6,91,116,7,99,194,49,75,65,300,24
"54",15052,"CORUÑA A","Abril","MUXIA",299,11,34,62,5,72,115,16,35,30,197,21
"55",15054,"CORUÑA A","Abril","NARON",2888,72,532,613,75,791,805,51,358,304,1909,266
"56",15055,"CORUÑA A","Abril","NEDA",360,7,95,78,10,77,93,7,53,41,235,24
"57",15056,"CORUÑA A","Abril","NEGREIRA",468,12,78,108,12,126,132,23,45,45,307,48
"58",15057,"CORUÑA A","Abril","NOIA",870,24,176,195,22,226,227,63,75,92,586,54
"59",15058,"CORUÑA A","Abril","OLEIROS",2063,45,377,505,45,481,610,26,164,172,1572,129
"60",15059,"CORUÑA A","Abril","ORDES",842,16,115,151,23,238,299,32,226,80,461,43
"61",15060,"CORUÑA A","Abril","OROSO",464,9,84,74,8,140,149,16,50,36,328,34
"62",15061,"CORUÑA A","Abril","ORTIGUEIRA",362,5,66,103,8,83,97,17,50,34,244,17
"63",15062,"CORUÑA A","Abril","OUTES",327,8,52,97,1,70,99,28,47,40,199,13
"64",15902,"CORUÑA A","Abril","OZA-CESURAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",15063,"CORUÑA A","Abril","OZA DOS RIOS",160,5,33,52,4,29,37,9,23,19,106,3
"66",15064,"CORUÑA A","Abril","PADERNE",120,6,18,29,2,34,31,1,22,9,84,4
"67",15065,"CORUÑA A","Abril","PADRON",602,19,119,155,12,150,147,13,92,53,417,27
"68",15066,"CORUÑA A","Abril","PINO, O",222,6,27,46,6,65,72,5,17,19,168,13
"69",15067,"CORUÑA A","Abril","POBRA DO CARAMIÑAL, A",507,12,93,107,11,138,146,19,47,38,382,21
"70",15068,"CORUÑA A","Abril","PONTECESO",303,3,45,82,5,77,91,11,61,45,167,19
"71",15069,"CORUÑA A","Abril","PONTEDEUME",506,7,105,141,10,118,125,5,64,49,343,45
"72",15070,"CORUÑA A","Abril","PONTES DE GARCIA RODRIGUEZ, AS",557,9,158,121,12,139,118,12,93,80,344,28
"73",15071,"CORUÑA A","Abril","PORTO DO SON",459,11,86,87,10,129,136,30,44,64,294,27
"74",15072,"CORUÑA A","Abril","RIANXO",827,32,179,166,21,216,213,28,191,76,498,34
"75",15073,"CORUÑA A","Abril","RIBEIRA",1574,46,287,247,45,458,491,84,183,88,1134,85
"76",15074,"CORUÑA A","Abril","ROIS",246,6,49,57,3,59,72,3,51,28,147,17
"77",15075,"CORUÑA A","Abril","SADA",1087,34,221,249,25,235,323,18,98,94,797,80
"78",15076,"CORUÑA A","Abril","SAN SADURNIÑO",166,5,28,43,4,39,47,12,18,24,99,13
"79",15077,"CORUÑA A","Abril","SANTA COMBA",511,13,75,117,15,127,164,20,69,80,311,31
"80",15078,"CORUÑA A","Abril","SANTIAGO DE COMPOSTELA",6571,153,1427,1385,184,1861,1561,84,345,395,5275,472
"81",15079,"CORUÑA A","Abril","SANTISO",80,2,10,29,4,14,21,6,10,14,47,3
"82",15080,"CORUÑA A","Abril","SOBRADO",66,2,11,23,3,15,12,2,12,10,38,4
"83",15081,"CORUÑA A","Abril","SOMOZAS, AS",75,2,10,17,1,24,21,3,17,6,45,4
"84",15082,"CORUÑA A","Abril","TEO",1095,29,205,243,36,286,296,14,85,89,829,78
"85",15083,"CORUÑA A","Abril","TOQUES",53,2,6,20,1,9,15,4,2,12,31,4
"86",15084,"CORUÑA A","Abril","TORDOIA",141,4,14,48,2,27,46,6,30,21,78,6
"87",15085,"CORUÑA A","Abril","TOURO",176,2,25,56,4,44,45,4,22,19,122,9
"88",15086,"CORUÑA A","Abril","TRAZO",112,1,11,38,4,31,27,5,14,18,72,3
"89",15088,"CORUÑA A","Abril","VAL DO DUBRA",174,1,34,52,3,38,46,2,25,26,115,6
"90",15087,"CORUÑA A","Abril","VALDOVIÑO",408,4,65,122,5,99,113,15,60,51,259,23
"91",15089,"CORUÑA A","Abril","VEDRA",219,5,42,57,5,67,43,11,23,21,156,8
"92",15091,"CORUÑA A","Abril","VILARMAIOR",56,1,13,18,0,14,10,1,9,3,40,3
"93",15090,"CORUÑA A","Abril","VILASANTAR",47,0,7,18,1,8,13,4,5,1,35,2
"94",15092,"CORUÑA A","Abril","VIMIANZO",409,9,55,97,4,102,142,26,77,68,218,20
"95",15093,"CORUÑA A","Abril","ZAS",256,5,31,99,5,35,81,10,48,44,143,11
"96",2001,"ALBACETE","Abril","ABENGIBRE",45,0,8,14,2,10,11,12,4,1,26,2
"97",2002,"ALBACETE","Abril","ALATOZ",41,1,6,5,1,9,19,3,4,9,24,1
"98",2003,"ALBACETE","Abril","ALBACETE",16074,756,2746,2921,747,4219,4685,736,1418,1054,11433,1433
"99",2004,"ALBACETE","Abril","ALBATANA",69,1,11,11,5,13,28,15,7,4,38,5
"100",2005,"ALBACETE","Abril","ALBOREA",77,4,10,20,2,16,25,16,11,3,46,1
"101",2006,"ALBACETE","Abril","ALCADOZO",81,0,11,19,1,22,28,5,4,9,63,0
"102",2007,"ALBACETE","Abril","ALCALA DEL JUCAR",107,6,20,23,2,26,30,10,6,4,84,3
"103",2008,"ALBACETE","Abril","ALCARAZ",170,10,33,37,8,32,50,19,4,7,135,5
"104",2009,"ALBACETE","Abril","ALMANSA",2560,126,356,428,126,553,971,65,612,133,1535,215
"105",2010,"ALBACETE","Abril","ALPERA",238,6,28,40,9,67,88,38,54,18,118,10
"106",2011,"ALBACETE","Abril","AYNA",45,NA,12,11,0,9,13,5,3,11,26,0
"107",2012,"ALBACETE","Abril","BALAZOTE",192,4,24,24,14,61,65,25,21,17,120,9
"108",2014,"ALBACETE","Abril","BALLESTERO, EL",20,NA,0,5,0,3,12,1,1,3,15,NA
"109",2013,"ALBACETE","Abril","BALSA DE VES",13,1,1,2,1,3,5,3,NA,0,7,3
"110",2015,"ALBACETE","Abril","BARRAX",248,5,17,36,7,73,110,20,35,7,173,13
"111",2016,"ALBACETE","Abril","BIENSERVIDA",105,9,13,22,2,21,38,21,2,11,70,1
"112",2017,"ALBACETE","Abril","BOGARRA",102,1,6,42,3,18,32,6,8,27,60,1
"113",2018,"ALBACETE","Abril","BONETE",110,8,15,17,5,23,42,21,14,10,50,15
"114",2019,"ALBACETE","Abril","BONILLO, EL",276,3,25,45,12,60,131,29,26,71,143,7
"115",2020,"ALBACETE","Abril","CARCELEN",49,1,9,6,2,14,17,6,1,3,38,1
"116",2021,"ALBACETE","Abril","CASAS DE JUAN NÚÑEZ",114,6,15,17,4,30,42,4,11,5,82,12
"117",2022,"ALBACETE","Abril","CASAS DE LÁZARO",23,2,4,7,1,4,5,2,1,4,15,1
"118",2023,"ALBACETE","Abril","CASAS DE VES",53,1,8,9,1,9,25,1,1,2,47,2
"119",2024,"ALBACETE","Abril","CASAS-IBAÑEZ",463,26,68,87,15,106,161,81,64,24,257,37
"120",2025,"ALBACETE","Abril","CAUDETE",1154,63,157,215,60,297,362,82,184,78,720,90
"121",2026,"ALBACETE","Abril","CENIZATE",94,3,11,11,2,21,46,20,5,3,66,NA
"122",2029,"ALBACETE","Abril","CHINCHILLA DE MONTE-ARAGÓN",370,15,50,86,14,88,117,10,47,20,267,26
"123",2027,"ALBACETE","Abril","CORRAL-RUBIO",26,3,2,5,1,4,11,5,3,1,16,1
"124",2028,"ALBACETE","Abril","COTILLAS",13,NA,NA,8,0,1,4,2,0,2,8,1
"125",2030,"ALBACETE","Abril","ELCHE DE LA SIERRA",479,21,64,105,22,103,164,42,33,29,358,17
"126",2031,"ALBACETE","Abril","FEREZ",96,3,9,18,2,19,45,9,3,27,56,1
"127",2032,"ALBACETE","Abril","FUENSANTA",29,1,5,10,0,4,9,1,3,3,21,1
"128",2033,"ALBACETE","Abril","FUENTE-ÁLAMO",280,10,40,53,13,69,95,39,25,20,166,30
"129",2034,"ALBACETE","Abril","FUENTEALBILLA",170,6,25,34,8,39,58,35,12,2,117,4
"130",2035,"ALBACETE","Abril","GINETA, LA",217,17,25,51,15,55,54,9,29,21,147,11
"131",2036,"ALBACETE","Abril","GOLOSALVO",10,NA,1,5,NA,2,2,NA,1,1,8,NA
"132",2037,"ALBACETE","Abril","HELLIN",3462,145,431,602,178,874,1232,421,491,206,2161,183
"133",2038,"ALBACETE","Abril","HERRERA, LA",35,NA,1,6,2,9,17,4,3,1,25,2
"134",2039,"ALBACETE","Abril","HIGUERUELA",69,2,7,12,3,11,34,7,4,2,52,4
"135",2040,"ALBACETE","Abril","HOYA-GONZALO",38,1,3,9,0,8,17,1,6,3,24,4
"136",2041,"ALBACETE","Abril","JORQUERA",39,0,6,14,1,4,14,3,7,6,23,NA
"137",2042,"ALBACETE","Abril","LETUR",135,4,8,41,3,16,63,12,8,6,105,4
"138",2043,"ALBACETE","Abril","LEZUZA",142,6,16,32,5,20,63,22,14,8,88,10
"139",2044,"ALBACETE","Abril","LIÉTOR",182,13,13,34,7,30,85,25,10,22,118,7
"140",2045,"ALBACETE","Abril","MADRIGUERAS",400,16,48,81,11,92,152,70,59,62,189,20
"141",2046,"ALBACETE","Abril","MAHORA",128,4,13,30,7,36,38,22,20,36,43,7
"142",2047,"ALBACETE","Abril","MASEGOSO",6,NA,0,2,NA,1,3,NA,0,NA,6,NA
"143",2048,"ALBACETE","Abril","MINAYA",112,3,11,28,1,28,41,16,16,23,54,3
"144",2049,"ALBACETE","Abril","MOLINICOS",111,5,28,33,1,11,33,12,7,9,81,2
"145",2050,"ALBACETE","Abril","MONTALVOS",4,NA,0,2,NA,2,NA,1,0,NA,3,NA
"146",2051,"ALBACETE","Abril","MONTEALEGRE DEL CASTILLO",165,4,18,24,7,56,56,12,53,9,77,14
"147",2052,"ALBACETE","Abril","MOTILLEJA",53,1,7,14,2,15,14,8,1,5,34,5
"148",2053,"ALBACETE","Abril","MUNERA",315,5,46,48,13,78,125,67,40,46,151,11
"149",2054,"ALBACETE","Abril","NAVAS DE JORQUERA",41,2,3,6,0,8,22,11,1,6,22,1
"150",2055,"ALBACETE","Abril","NERPIO",136,7,19,41,3,23,43,7,8,11,108,2
"151",2056,"ALBACETE","Abril","ONTUR",139,3,19,27,9,36,45,20,18,9,88,4
"152",2057,"ALBACETE","Abril","OSSA DE MONTIEL",311,9,42,67,10,67,116,22,46,24,219,0
"153",2058,"ALBACETE","Abril","PATERNA DEL MADERA",27,2,3,7,0,6,9,NA,5,1,19,2
"154",2059,"ALBACETE","Abril","PEÑASCOSA",29,2,4,5,2,4,12,4,NA,0,22,3
"155",2060,"ALBACETE","Abril","PEÑAS DE SAN PEDRO",104,3,14,24,3,25,35,11,11,4,76,2
"156",2061,"ALBACETE","Abril","PETROLA",45,1,5,14,2,5,18,5,4,2,30,4
"157",2062,"ALBACETE","Abril","POVEDILLA",53,5,8,12,NA,6,22,12,6,5,29,1
"158",2901,"ALBACETE","Abril","POZO CAÑADA",300,13,31,57,23,94,82,29,20,30,200,21
"159",2063,"ALBACETE","Abril","POZOHONDO",169,5,22,34,4,46,58,17,12,12,123,5
"160",2064,"ALBACETE","Abril","POZO-LORENTE",44,2,5,18,1,8,10,6,4,5,29,0
"161",2065,"ALBACETE","Abril","POZUELO",35,0,5,6,1,7,16,4,1,2,28,NA
"162",2066,"ALBACETE","Abril","RECUEJA, LA",9,1,0,2,1,2,3,2,NA,0,7,NA
"163",2067,"ALBACETE","Abril","RIOPAR",165,5,34,47,4,32,43,27,4,13,120,1
"164",2068,"ALBACETE","Abril","ROBLEDO",41,2,2,10,7,7,13,5,1,3,31,1
"165",2069,"ALBACETE","Abril","RODA, LA",1542,89,242,220,75,420,496,188,223,51,932,148
"166",2070,"ALBACETE","Abril","SALOBRE",32,0,8,8,2,7,7,6,0,5,21,0
"167",2071,"ALBACETE","Abril","SAN PEDRO",129,6,10,38,4,24,47,11,4,14,95,5
"168",2072,"ALBACETE","Abril","SOCOVOS",200,5,27,43,6,46,73,26,11,15,136,12
"169",2073,"ALBACETE","Abril","TARAZONA DE LA MANCHA",676,28,80,119,21,159,269,100,71,37,421,47
"170",2074,"ALBACETE","Abril","TOBARRA",664,24,93,133,21,176,217,71,105,45,410,33
"171",2075,"ALBACETE","Abril","VALDEGANGA",177,8,24,39,11,46,49,21,21,26,95,14
"172",2076,"ALBACETE","Abril","VIANOS",36,1,4,10,2,5,14,3,2,1,28,2
"173",2077,"ALBACETE","Abril","VILLA DE VES",10,1,1,2,NA,3,3,1,1,NA,8,NA
"174",2078,"ALBACETE","Abril","VILLALGORDO DEL JUCAR",68,3,12,19,4,8,22,12,6,5,42,3
"175",2079,"ALBACETE","Abril","VILLAMALEA",337,8,44,74,11,77,123,73,55,21,177,11
"176",2080,"ALBACETE","Abril","VILLAPALACIOS",66,2,12,18,3,8,23,10,7,3,44,2
"177",2081,"ALBACETE","Abril","VILLARROBLEDO",2378,106,339,434,107,701,691,418,218,225,1431,86
"178",2082,"ALBACETE","Abril","VILLATOYA",12,NA,1,6,NA,1,4,1,0,0,10,1
"179",2083,"ALBACETE","Abril","VILLAVALIENTE",15,NA,1,2,1,3,8,1,1,0,10,3
"180",2084,"ALBACETE","Abril","VILLAVERDE DE GUADALIMAR",53,1,4,14,1,12,21,5,1,2,44,1
"181",2085,"ALBACETE","Abril","VIVEROS",19,1,0,3,0,4,11,4,0,0,14,1
"182",2086,"ALBACETE","Abril","YESTE",334,10,49,97,10,69,99,37,13,59,217,8
"183",3001,"ALICANTE/ALACANT","Abril","ADSUBIA",1142,238,241,155,200,208,100,6,80,24,768,264
"184",3002,"ALICANTE/ALACANT","Abril","AGOST",456,24,74,129,18,100,111,85,61,57,227,26
"185",3003,"ALICANTE/ALACANT","Abril","AGRES",31,3,4,14,1,4,5,3,5,4,18,1
"186",3004,"ALICANTE/ALACANT","Abril","AIGÜES",81,3,8,24,3,19,24,NA,4,8,68,1
"187",3005,"ALICANTE/ALACANT","Abril","ALBATERA",1151,49,144,209,48,316,385,127,272,78,593,81
"188",3006,"ALICANTE/ALACANT","Abril","ALCALALI",51,3,8,18,4,7,11,1,4,6,38,2
"189",3007,"ALICANTE/ALACANT","Abril","ALCOCER DE PLANES",14,1,3,4,NA,2,4,NA,6,1,7,NA
"190",3008,"ALICANTE/ALACANT","Abril","ALCOLEJA",10,NA,2,4,NA,3,1,NA,1,4,5,NA
"191",3009,"ALICANTE/ALACANT","Abril","ALCOY/ALCOI",6008,240,1015,1282,236,1315,1920,135,1246,424,3915,288
"192",3010,"ALICANTE/ALACANT","Abril","ALFAFARA",28,2,3,6,1,4,12,1,11,1,15,NA
"193",3011,"ALICANTE/ALACANT","Abril","ALFAS DEL PI, L'",1307,60,245,274,54,309,365,12,15,114,1145,21
"194",3012,"ALICANTE/ALACANT","Abril","ALGORFA",184,5,20,38,7,50,64,4,25,26,126,3
"195",3013,"ALICANTE/ALACANT","Abril","ALGUEÑA",138,5,21,36,2,34,40,13,41,6,64,14
"196",3014,"ALICANTE/ALACANT","Abril","ALICANTE/ALACANT",33362,1258,6234,7795,1123,7846,9106,592,1750,3356,25328,2336
"197",3015,"ALICANTE/ALACANT","Abril","ALMORADI",2114,82,352,451,96,530,603,119,291,284,1194,226
"198",3016,"ALICANTE/ALACANT","Abril","ALMUDAINA",4,NA,1,1,NA,1,1,NA,NA,2,2,NA
"199",3017,"ALICANTE/ALACANT","Abril","ALQUERIA D'ASNAR, L'",29,NA,3,4,1,10,11,NA,10,5,13,1
"200",3018,"ALICANTE/ALACANT","Abril","ALTEA",1800,69,329,416,72,414,500,33,46,195,1482,44
"201",3019,"ALICANTE/ALACANT","Abril","ASPE",2320,114,385,494,76,536,715,375,424,206,1153,162
"202",3020,"ALICANTE/ALACANT","Abril","BALONES",9,1,2,2,NA,0,4,1,2,2,4,0
"203",3021,"ALICANTE/ALACANT","Abril","BANYERES DE MARIOLA",413,14,49,62,13,103,172,6,157,11,204,35
"204",3022,"ALICANTE/ALACANT","Abril","BENASAU",5,NA,0,2,NA,1,2,NA,0,NA,5,NA
"205",3023,"ALICANTE/ALACANT","Abril","BENEIXAMA",103,7,13,18,8,30,27,6,35,3,53,6
"206",3024,"ALICANTE/ALACANT","Abril","BENEJUZAR",508,22,99,118,29,104,136,21,98,92,269,28
"207",3025,"ALICANTE/ALACANT","Abril","BENFERRI",147,6,22,27,3,43,46,7,27,17,88,8
"208",3026,"ALICANTE/ALACANT","Abril","BENIARBEIG",154,10,28,42,3,33,38,2,7,20,122,3
"209",3027,"ALICANTE/ALACANT","Abril","BENIARDA",11,NA,0,5,0,2,4,NA,0,NA,11,NA
"210",3028,"ALICANTE/ALACANT","Abril","BENIARRES",76,3,10,16,1,15,31,3,18,7,47,1
"211",3030,"ALICANTE/ALACANT","Abril","BENIDOLEIG",63,1,11,16,2,16,17,3,5,9,46,NA
"212",3031,"ALICANTE/ALACANT","Abril","BENIDORM",7768,363,1577,1516,326,1882,2104,46,145,426,7017,134
"213",3032,"ALICANTE/ALACANT","Abril","BENIFALLIM",4,0,0,1,NA,1,2,NA,1,2,1,NA
"214",3033,"ALICANTE/ALACANT","Abril","BENIFATO",11,1,2,4,NA,2,2,1,NA,1,9,NA
"215",3029,"ALICANTE/ALACANT","Abril","BENIGEMBLA",14,0,2,2,NA,4,6,NA,1,NA,13,NA
"216",3034,"ALICANTE/ALACANT","Abril","BENIJOFAR",201,15,35,35,16,39,61,3,14,28,149,7
"217",3035,"ALICANTE/ALACANT","Abril","BENILLOBA",52,2,12,13,3,5,17,1,7,1,43,0
"218",3036,"ALICANTE/ALACANT","Abril","BENILLUP",1,NA,0,0,NA,0,1,NA,0,NA,1,NA
"219",3037,"ALICANTE/ALACANT","Abril","BENIMANTELL",33,2,6,10,NA,6,9,1,NA,1,29,2
"220",3038,"ALICANTE/ALACANT","Abril","BENIMARFULL",24,1,3,9,NA,3,8,2,5,3,14,NA
"221",3039,"ALICANTE/ALACANT","Abril","BENIMASSOT",10,1,2,3,NA,1,3,NA,2,1,7,NA
"222",3040,"ALICANTE/ALACANT","Abril","BENIMELI",25,NA,6,6,1,4,8,1,2,4,18,NA
"223",3041,"ALICANTE/ALACANT","Abril","BENISSA",755,35,114,164,25,203,214,16,37,94,586,22
"224",3042,"ALICANTE/ALACANT","Abril","BENITACHELL/POBLE NOU DE BENITATXELL, EL",178,12,32,39,8,50,37,1,9,21,138,9
"225",3043,"ALICANTE/ALACANT","Abril","BIAR",255,9,26,67,4,52,97,6,73,16,149,11
"226",3044,"ALICANTE/ALACANT","Abril","BIGASTRO",645,14,111,144,19,166,191,44,83,134,349,35
"227",3045,"ALICANTE/ALACANT","Abril","BOLULLA",16,1,1,8,0,4,2,0,NA,1,15,NA
"228",3046,"ALICANTE/ALACANT","Abril","BUSOT",171,12,28,40,2,31,58,5,18,23,123,2
"229",3048,"ALICANTE/ALACANT","Abril","CALLOSA D'EN SARRIA",442,17,96,104,16,110,99,56,13,62,299,12
"230",3049,"ALICANTE/ALACANT","Abril","CALLOSA DE SEGURA",1774,95,306,362,74,476,461,109,378,161,980,146
"231",3047,"ALICANTE/ALACANT","Abril","CALPE/CALP",1812,98,348,398,77,450,441,18,52,227,1464,51
"232",3050,"ALICANTE/ALACANT","Abril","CAMPELLO, EL",2155,76,375,482,67,508,647,26,132,248,1660,89
"233",3051,"ALICANTE/ALACANT","Abril","CAMPO DE MIRRA/CAMP DE MIRRA, EL",17,NA,1,7,NA,3,6,2,6,1,7,1
"234",3052,"ALICANTE/ALACANT","Abril","CAÑADA",61,4,8,6,2,17,24,4,12,5,35,5
"235",3053,"ALICANTE/ALACANT","Abril","CASTALLA",947,43,161,178,33,228,304,19,312,108,451,57
"236",3054,"ALICANTE/ALACANT","Abril","CASTELL DE CASTELLS",24,2,6,6,NA,5,5,0,2,3,18,1
"237",3075,"ALICANTE/ALACANT","Abril","CASTELL DE GUADALEST, EL",14,NA,2,1,1,4,6,1,NA,1,11,1
"238",3055,"ALICANTE/ALACANT","Abril","CATRAL",833,42,129,184,19,212,247,36,248,60,439,50
"239",3056,"ALICANTE/ALACANT","Abril","COCENTAINA",1106,44,170,238,48,231,375,19,258,80,686,63
"240",3057,"ALICANTE/ALACANT","Abril","CONFRIDES",34,0,8,10,NA,13,3,1,3,1,27,2
"241",3058,"ALICANTE/ALACANT","Abril","COX",521,28,88,110,16,161,118,33,82,45,331,30
"242",3059,"ALICANTE/ALACANT","Abril","CREVILLENT",3657,136,564,809,126,806,1216,92,1202,253,1841,269
"243",3061,"ALICANTE/ALACANT","Abril","DAYA NUEVA",142,4,19,38,8,33,40,6,17,12,93,14
"244",3062,"ALICANTE/ALACANT","Abril","DAYA VIEJA",35,0,4,6,1,7,17,1,1,3,29,1
"245",3063,"ALICANTE/ALACANT","Abril","DENIA",4057,183,692,937,161,902,1182,33,193,503,3157,171
"246",3064,"ALICANTE/ALACANT","Abril","DOLORES",757,29,119,174,24,181,230,47,195,94,371,50
"247",3065,"ALICANTE/ALACANT","Abril","ELCHE/ELX",27787,941,4601,5723,941,6525,9056,862,6990,2104,16161,1670
"248",3066,"ALICANTE/ALACANT","Abril","ELDA",6368,288,1062,1241,252,1375,2150,179,1896,404,3396,493
"249",3067,"ALICANTE/ALACANT","Abril","FACHECA",9,NA,1,3,NA,1,4,0,1,0,8,NA
"250",3068,"ALICANTE/ALACANT","Abril","FAMORCA",0,NA,0,0,NA,NA,0,NA,0,NA,0,NA
"251",3069,"ALICANTE/ALACANT","Abril","FINESTRAT",550,13,104,124,18,144,147,0,16,34,497,3
"252",3070,"ALICANTE/ALACANT","Abril","FORMENTERA DEL SEGURA",304,13,54,67,9,78,83,10,33,40,207,14
"253",3072,"ALICANTE/ALACANT","Abril","GAIANES",40,3,9,12,0,6,10,2,7,5,24,2
"254",3071,"ALICANTE/ALACANT","Abril","GATA DE GORGOS",408,12,63,91,14,110,118,7,35,48,294,24
"255",3073,"ALICANTE/ALACANT","Abril","GORGA",20,2,3,1,1,2,11,2,2,NA,15,1
"256",3074,"ALICANTE/ALACANT","Abril","GRANJA DE ROCAMORA",197,5,40,33,9,58,52,12,31,19,126,9
"257",3076,"ALICANTE/ALACANT","Abril","GUARDAMAR DEL SEGURA",1205,66,227,264,28,307,313,28,108,130,915,24
"258",3077,"ALICANTE/ALACANT","Abril","HONDÓN DE LAS NIEVES/FONDÓ DE LES NEUS,E",184,3,26,46,6,44,59,20,36,8,102,18
