"fecha","cs","nuevos_casos","tarjetas_sanitarias","pcr_realizados","pcr_positivos","pcr_positivos_sintomas","fallecidos","casos_activos"
2020-03-01,170512,0,3068,0,0,0,0,0
2020-03-01,170513,0,22735,0,0,0,0,1
2020-03-01,170514,0,5892,0,0,0,0,0
2020-03-01,170515,0,20913,0,0,0,0,1
2020-03-01,170516,0,1852,0,0,0,0,0
2020-03-01,170517,0,9944,0,0,0,0,0
2020-03-01,170518,0,2143,0,0,0,0,0
2020-03-01,170519,0,1729,0,0,0,0,1
2020-03-01,170520,0,6195,0,0,0,0,0
2020-03-01,170601,0,12315,0,0,0,0,0
2020-03-01,170602,0,2568,0,0,0,0,0
2020-03-01,170603,0,16077,0,0,0,0,0
2020-03-01,170604,0,2133,0,0,0,0,0
2020-03-01,170605,0,1842,0,0,0,0,0
2020-03-01,170606,0,14658,0,0,0,0,1
2020-03-01,170607,0,20551,0,0,0,0,4
2020-03-01,170608,0,3221,0,0,0,0,0
2020-03-01,170609,0,1621,0,0,0,0,0
2020-03-01,170610,0,2025,0,0,0,0,0
2020-03-01,170611,0,18811,0,0,0,0,2
2020-03-01,170612,0,25832,0,0,0,0,0
2020-03-01,170613,0,9597,0,0,0,0,0
2020-03-01,170614,0,18490,0,0,0,0,1
2020-03-01,170615,0,1808,0,0,0,0,0
2020-03-01,170616,0,2555,0,0,0,0,0
2020-03-01,170617,0,2117,0,0,0,0,0
2020-03-01,170618,0,3294,0,0,0,0,0
2020-03-01,170619,0,1823,0,0,0,0,0
2020-03-01,170620,0,1694,0,0,0,0,0
2020-03-01,170621,0,2641,0,0,0,0,0
2020-03-01,170622,0,19188,0,0,0,0,2
2020-03-01,170623,0,12018,0,0,0,0,0
2020-03-01,170624,0,10063,0,0,0,0,0
2020-03-01,170625,0,14973,0,0,0,0,0
2020-03-01,170626,0,1643,0,0,0,0,0
2020-03-01,170627,0,12332,0,0,0,0,0
2020-03-01,170628,0,18209,0,0,0,0,0
2020-03-01,170629,0,8319,0,0,0,0,0
2020-03-01,170630,0,2189,0,0,0,0,0
2020-03-01,170631,0,10466,0,0,0,0,0
2020-03-01,170633,0,4032,0,0,0,0,0
2020-03-01,170634,0,6097,1,1,1,0,0
2020-03-01,170635,0,11492,0,0,0,0,0
2020-03-01,170636,0,15412,0,0,0,0,1
2020-03-01,170637,0,9829,0,0,0,0,0
2020-03-01,170701,0,8331,0,0,0,0,1
2020-03-01,170702,0,9273,0,0,0,0,3
2020-03-01,170703,0,13904,0,0,0,0,0
2020-03-01,170704,0,1377,0,0,0,0,0
2020-03-01,170705,0,2257,0,0,0,0,0
2020-03-01,170706,0,8568,0,0,0,0,0
2020-03-01,170707,0,4359,0,0,0,0,0
2020-03-01,170708,0,22189,0,0,0,0,3
2020-03-01,170709,0,18161,0,0,0,0,0
2020-03-01,170710,0,15315,0,0,0,0,0
2020-03-01,170711,0,21485,0,0,0,0,0
2020-03-01,170712,0,2868,0,0,0,0,0
2020-03-01,170713,0,3295,0,0,0,0,0
2020-03-01,170714,0,8526,0,0,0,0,0
2020-03-01,170715,0,5361,0,0,0,0,1
2020-03-01,170716,0,821,0,0,0,0,0
2020-03-01,170801,0,3414,0,0,0,0,0
2020-03-01,170802,0,6686,0,0,0,0,0
2020-03-01,170803,0,2736,0,0,0,0,0
2020-03-01,170804,0,1393,0,0,0,0,0
2020-03-01,170805,0,5504,0,0,0,0,1
2020-03-01,170806,0,4098,0,0,0,0,0
2020-03-01,170807,0,1073,0,0,0,0,0
2020-03-01,170808,0,4206,0,0,0,0,0
2020-03-01,170809,0,3345,0,0,0,0,0
2020-03-01,170810,0,3813,0,0,0,0,1
2020-03-01,170811,0,7309,0,0,0,0,0
2020-03-01,170812,0,916,0,0,0,0,0
2020-03-01,170813,0,23699,0,0,0,0,1
2020-03-01,170814,0,19286,0,0,0,0,1
2020-03-01,170902,0,18958,0,0,0,0,1
2020-03-01,170903,0,15060,0,0,0,0,0
2020-03-01,170906,0,18813,0,0,0,0,0
2020-03-01,170907,0,25426,0,0,0,0,3
2020-03-01,170909,0,28564,0,0,0,0,0
2020-03-01,170910,0,2621,0,0,0,0,0
2020-03-01,170913,0,6557,0,0,0,0,0
2020-03-01,170914,0,1879,0,0,0,0,0
2020-03-01,170915,0,28717,0,0,0,0,1
2020-03-01,170916,0,22958,0,0,0,0,1
2020-03-01,170919,0,22294,0,0,0,0,1
2020-03-01,170920,0,11490,0,0,0,0,0
2020-03-01,170924,0,2159,0,0,0,0,0
2020-03-01,170925,0,2264,0,0,0,0,0
2020-03-01,170926,0,8743,0,0,0,0,0
2020-03-01,170927,0,26273,0,0,0,0,0
2020-03-01,170928,0,18949,0,0,0,0,0
2020-03-01,171001,0,5942,0,0,0,0,0
2020-03-01,171002,0,1317,0,0,0,0,0
2020-03-01,171003,0,14915,0,0,0,0,2
2020-03-01,171006,0,11068,0,0,0,0,0
2020-03-01,171007,0,9221,0,0,0,0,0
2020-03-01,171008,0,14118,0,0,0,0,3
2020-03-01,171009,0,16460,0,0,0,0,0
2020-03-01,171010,0,13892,0,0,0,0,0
2020-03-01,171011,0,9496,0,0,0,0,0
2020-03-01,171012,0,14232,0,0,0,0,0
2020-03-01,171013,0,11185,0,0,0,0,0
2020-03-01,171014,0,11173,0,0,0,0,1
2020-03-01,171015,0,9403,0,0,0,0,0
2020-03-01,171016,0,11564,0,0,0,0,0
2020-03-01,171017,0,5318,0,0,0,0,0
2020-03-01,171018,0,11624,0,0,0,0,1
2020-03-01,171019,0,2752,0,0,0,0,0
2020-03-01,171020,0,4373,0,0,0,0,0
2020-03-01,171021,0,8425,0,0,0,0,0
2020-03-01,171022,0,20996,0,0,0,0,2
2020-03-01,171023,0,17223,0,0,0,0,0
2020-03-01,171024,0,18242,0,0,0,0,0
2020-03-01,171025,0,8791,0,0,0,0,0
2020-03-01,171026,0,7508,0,0,0,0,0
2020-03-01,171101,0,15036,0,0,0,0,2
2020-03-01,171102,0,4604,0,0,0,0,0
2020-03-01,171103,0,521,0,0,0,0,0
2020-03-01,171104,0,12430,0,0,0,0,0
2020-03-01,171105,0,14593,0,0,0,0,0
2020-03-01,171106,0,3039,0,0,0,0,0
2020-03-01,171107,0,2982,0,0,0,0,0
2020-03-01,171108,0,1121,0,0,0,0,0
2020-03-01,171109,0,2009,0,0,0,0,0
2020-03-01,171110,0,2910,0,0,0,0,0
2020-03-01,171111,0,16715,0,0,0,0,0
2020-03-01,171112,0,12647,0,0,0,0,2
2020-03-01,171113,0,5267,0,0,0,0,0
2020-03-01,171114,0,3974,0,0,0,0,0
2020-03-01,171115,0,5162,0,0,0,0,0
2020-03-01,171116,0,3358,0,0,0,0,0
2020-03-01,171117,0,11185,0,0,0,0,1
2020-03-01,171118,0,1850,0,0,0,0,0
2020-03-01,171119,0,3578,0,0,0,0,0
2020-03-01,171120,0,20478,0,0,0,0,0
2020-03-01,171121,0,7128,0,0,0,0,0
2020-03-01,171122,0,7812,0,0,0,0,0
2020-03-02,170101,0,7598,0,0,0,0,0
2020-03-02,170102,0,13805,0,0,0,0,1
2020-03-02,170103,0,17113,0,0,0,0,0
2020-03-02,170104,0,11289,0,0,0,0,1
2020-03-02,170105,0,8657,0,0,0,0,0
2020-03-02,170106,0,2749,0,0,0,0,0
2020-03-02,170107,0,14531,0,0,0,0,0
2020-03-02,170108,0,4510,0,0,0,0,0
2020-03-02,170109,0,4590,0,0,0,0,0
2020-03-02,170110,0,5009,0,0,0,0,0
2020-03-02,170111,0,8666,0,0,0,0,0
2020-03-02,170112,0,2215,0,0,0,0,0
2020-03-02,170113,0,1428,0,0,0,0,0
2020-03-02,170114,0,5992,0,0,0,0,0
2020-03-02,170115,0,2404,0,0,0,0,0
2020-03-02,170116,0,2461,0,0,0,0,0
2020-03-02,170117,0,3570,0,0,0,0,0
2020-03-02,170118,0,1969,0,0,0,0,0
2020-03-02,170119,0,11034,0,0,0,0,0
2020-03-02,170120,0,2154,0,0,0,0,1
2020-03-02,170121,0,930,0,0,0,0,0
2020-03-02,170122,0,16079,0,0,0,0,0
2020-03-02,170201,0,19644,0,0,0,0,0
2020-03-02,170202,0,7752,0,0,0,0,0
2020-03-02,170203,1,16170,0,0,0,0,1
2020-03-02,170204,0,3893,0,0,0,0,1
2020-03-02,170205,0,8778,0,0,0,0,1
2020-03-02,170206,0,16671,0,0,0,0,0
2020-03-02,170207,0,16183,0,0,0,0,1
2020-03-02,170208,0,7313,0,0,0,0,1
2020-03-02,170209,0,11518,0,0,0,0,0
2020-03-02,170210,1,1818,0,0,0,0,2
2020-03-02,170211,0,2671,0,0,0,0,0
2020-03-02,170212,0,15253,0,0,0,0,0
2020-03-02,170213,0,15716,0,0,0,0,1
2020-03-02,170214,0,16703,0,0,0,0,1
2020-03-02,170215,0,1336,0,0,0,0,0
2020-03-02,170216,0,6027,0,0,0,0,0
2020-03-02,170217,0,17094,0,0,0,0,1
2020-03-02,170218,0,14868,0,0,0,0,0
2020-03-02,170219,0,6728,0,0,0,0,0
2020-03-02,170220,0,2784,0,0,0,0,1
2020-03-02,170221,0,18513,0,0,0,0,0
2020-03-02,170222,0,19188,0,0,0,0,0
2020-03-02,170223,0,1899,0,0,0,0,0
2020-03-02,170224,0,3159,0,0,0,0,0
2020-03-02,170225,0,5606,0,0,0,0,0
2020-03-02,170226,0,3244,0,0,0,0,1
2020-03-02,170227,0,21990,0,0,0,0,0
2020-03-02,170228,0,17245,0,0,0,0,1
2020-03-02,170229,0,441,0,0,0,0,0
2020-03-02,170230,0,549,0,0,0,0,0
2020-03-02,170231,0,974,0,0,0,0,0
2020-03-02,170232,0,919,0,0,0,0,0
2020-03-02,170233,0,2484,0,0,0,0,0
2020-03-02,170234,0,3693,0,0,0,0,0
2020-03-02,170235,0,4358,0,0,0,0,0
2020-03-02,170236,3,25227,0,0,0,0,4
2020-03-02,170237,0,10869,0,0,0,0,0
2020-03-02,170301,0,12895,0,0,0,0,0
2020-03-02,170302,0,12529,0,0,0,0,0
2020-03-02,170303,0,3922,0,0,0,0,0
2020-03-02,170304,0,951,0,0,0,0,0
2020-03-02,170305,0,3138,0,0,0,0,0
2020-03-02,170306,0,5820,0,0,0,0,0
2020-03-02,170307,0,6942,0,0,0,0,0
2020-03-02,170308,0,12645,0,0,0,0,1
2020-03-02,170309,0,9107,0,0,0,0,0
2020-03-02,170310,0,994,0,0,0,0,0
2020-03-02,170311,0,2509,0,0,0,0,0
2020-03-02,170312,0,37509,0,0,0,0,0
2020-03-02,170313,0,24974,0,0,0,0,1
2020-03-02,170314,0,20862,0,0,0,0,0
2020-03-02,170315,0,13272,0,0,0,0,1
2020-03-02,170316,0,24214,0,0,0,0,0
2020-03-02,170317,0,24624,0,0,0,0,0
2020-03-02,170318,0,4732,0,0,0,0,0
2020-03-02,170319,0,1380,0,0,0,0,0
2020-03-02,170320,0,1194,0,0,0,0,0
2020-03-02,170321,0,1819,0,0,0,0,0
2020-03-02,170322,0,13267,0,0,0,0,0
2020-03-02,170323,0,4416,0,0,0,0,0
2020-03-02,170324,0,20943,0,0,0,0,0
2020-03-02,170325,0,7888,0,0,0,0,0
2020-03-02,170326,0,3473,0,0,0,0,0
2020-03-02,170327,0,9162,0,0,0,0,0
