"CODAUTO","CPRO","CMUN","DC","NOMBRE","SUPERFICIE","HABITANTES"
"09","25","062","1","Camarasa",156.59,817
"08","45","031","9","Camarena",66.22,3960
"02","44","054","7","Camarena de la Sierra",79.54,105
"08","45","032","4","Camarenilla",24.35,565
"06","39","016","5","Camargo",36.98,30260
"02","44","055","0","Camarillas",50.55,100
"12","15","016","1","Camariñas",51.6,5272
"09","43","903","9","Camarles",29.8,3224
"13","28","032","3","Camarma de Esteruelas",35.43,7336
"07","49","033","8","Camarzana de Tera",47.62,776
"01","41","021","2","Camas",11.65,27509
"12","36","006","2","Cambados",23.44,13744
"01","23","018","3","Cambil",139.88,2703
"12","15","017","7","Cambre",40.74,24648
"09","43","038","5","Cambrils",35.08,33898
"11","10","041","7","Caminomorisco",147.06,1194
"02","44","056","3","Caminreal",44.39,620
"09","17","035","3","Camós",15.58,693
"01","41","022","7","Campana, La",125.77,5276
"11","06","028","6","Campanario",257.32,4896
"04","07","012","5","Campanet",34.65,2640
"07","47","030","1","Campaspero",46.79,1079
"07","24","032","5","Campazas",20.88,119
"09","17","036","6","Campdevànol",32.65,3223
"09","17","037","2","Campelles",18.71,139
"10","03","050","7","Campello, el",55.27,28349
"16","01","017","0","Campezo/Kanpezu",85.36,1040
"08","16","042","1","Campillo de Altobuey",172.41,1322
"02","50","071","1","Campillo de Aragón",36.86,147
"07","09","065","7","Campillo de Aranda",23.92,182
"01","23","019","6","Campillo de Arenas",116.69,1760
"07","37","074","7","Campillo de Azaba",26.03,159
"11","10","042","2","Campillo de Deleitosa",25.6,79
"08","19","059","5","Campillo de Dueñas",60.63,78
"08","45","033","0","Campillo de la Jara, El",88.06,344
"11","06","029","9","Campillo de Llerena",234.04,1360
"08","19","060","9","Campillo de Ranas",91.69,171
"01","21","018","2","Campillo, El",90.72,2023
"07","47","031","8","Campillo, El",32.8,222
"01","29","032","6","Campillos",187.44,8444
"08","16","043","7","Campillos-Paravientos",54.34,105
"08","16","044","2","Campillos-Sierra",38.03,38
"09","08","039","9","Campins",7.42,529
"08","19","061","6","Campisábalos",54.01,57
"09","17","038","8","Campllong",8.49,547
"02","22","074","6","Campo",22.86,278
"08","13","028","3","Campo de Criptana",303.39,13414
"10","03","051","4","Campo de Mirra/Camp de Mirra, el",21.82,415
"07","37","077","9","Campo de Peñaranda, El",45.2,261
"07","40","039","0","Campo de San Pedro",37.57,238
"07","24","033","1","Campo de Villavidel",13.97,209
"12","36","007","8","Campo Lameiro",63.77,1817
"11","10","043","8","Campo Lugar",73.06,833
"13","28","033","9","Campo Real",61.75,6210
"01","21","019","5","Campofrío",46.98,675
"07","09","066","0","Campolara",13.24,57
"07","24","034","6","Camponaraya",29.13,4096
"06","39","027","9","Campoo de Enmedio",91.31,3714
"06","39","017","1","Campoo de Yuso",89.47,669
"07","47","032","3","Camporredondo",17.46,157
"02","22","075","9","Camporrélls",26.68,134
"10","46","080","4","Camporrobles",89.5,1191
"04","07","013","1","Campos",149.69,10862
"08","16","901","5","Campos del Paraíso",216.89,737
"14","30","014","5","Campos del Río",47.01,2028
"01","18","038","4","Campotéjar",35.82,1237
"09","17","039","1","Camprodon",103.57,2281
"17","26","037","4","Camprovín",20.45,151
"08","45","034","5","Camuñas",102.03,1726
"02","22","076","2","Canal de Berdún",133.27,314
"07","47","033","9","Canalejas de Peñafiel",32.1,231
"08","16","045","5","Canalejas del Arroyo",60.95,186
"07","05","046","7","Canales",6.67,45
"17","26","038","0","Canales de la Sierra",54.44,91
"10","46","081","1","Canals",21.86,13587
"03","33","010","0","Candamo",71.97,1947
"02","22","077","8","Candasnos",122.45,462
"05","38","011","0","Candelaria",49.48,27985
"07","37","078","5","Candelario",60.17,879
"07","05","047","3","Candeleda",213.91,5018
"07","42","049","0","Candilichera",44.83,113
"07","24","036","2","Candín",139.62,274
"09","25","063","7","Canejan",48.52,107
"01","23","020","0","Canena",14.33,1831
"13","28","034","4","Canencia",52.7,447
"09","17","040","5","Canet d'Adri",44.66,723
"09","08","040","3","Canet de Mar",6.32,14526
"10","46","082","6","Canet d'En Berenguer",3.95,6697
"10","12","036","3","Canet lo Roig",68.68,674
"02","22","078","4","Canfranc",71.56,540
"12","36","008","4","Cangas",38.08,26542
"03","33","012","2","Cangas de Onís",213.24,6163
"03","33","011","7","Cangas del Narcea",823.58,12347
"07","09","067","6","Canicosa de la Sierra",29.53,449
"01","18","039","7","Caniles",216.75,4047
"07","37","079","8","Canillas de Abajo",38.78,86
"01","29","033","2","Canillas de Aceituno",42.03,1677
"01","29","034","7","Canillas de Albaida",33.21,716
"07","47","034","4","Canillas de Esgueva",23.52,75
"17","26","039","3","Canillas de Río Tuerto",3.6,40
"01","04","030","7","Canjáyar",66.93,1214
"09","43","907","6","Canonja, La",7.32,5893
"09","08","041","0","Canovelles",6.76,16629
"09","08","042","5","Cànoves i Samalús",28.62,3117
"08","19","064","2","Canredondo",63.52,67
"07","09","068","2","Cantabrana",3.14,25
"07","37","080","2","Cantagallo",7.51,255
"07","37","081","9","Cantalapiedra",71.15,953
"07","40","040","4","Cantalejo",79.43,3523
"09","17","041","2","Cantallops",19.47,313
"08","19","065","5","Cantalojas",159.1,151
"07","37","082","4","Cantalpino",78.47,851
"07","37","083","0","Cantaracillo",37.07,190
"02","44","059","8","Cantavieja",124.56,709
"01","41","023","3","Cantillana",107.03,10684
"07","40","041","1","Cantimpalos",26.29,1325
"07","05","048","9","Cantiveros",14.37,103
"01","04","031","4","Cantoria",78.95,3204
"09","08","043","1","Canyelles",13.99,4647
"10","03","052","9","Cañada",19.32,1220
"02","44","060","2","Cañada de Benatanduz",34.89,36
"08","13","029","6","Cañada de Calatrava",30.13,102
"02","44","061","9","Cañada de Verich, La",10.86,89
"08","16","046","8","Cañada del Hoyo",89.75,243
"08","16","047","4","Cañada Juncosa",42.72,240
"01","41","901","7","Cañada Rosal",25.83,3320
"02","44","062","4","Cañada Vellida",23.3,31
"07","42","050","3","Cañamaque",22.94,30
"08","16","048","0","Cañamares",40.52,466
"11","10","044","3","Cañamero",151.45,1614
"01","18","040","1","Cáñar",26.35,350
"17","26","040","7","Cañas",9.72,102
"08","16","049","3","Cañavate, El",36.1,146
"11","10","045","6","Cañaveral",86.48,1031
"01","21","020","9","Cañaveral de León",34.77,403
"08","16","050","6","Cañaveras",73.63,258
"08","16","051","3","Cañaveruelas",33.57,132
"08","16","052","8","Cañete",86.96,739
"01","14","014","2","Cañete de las Torres",103.52,2933
"01","29","035","0","Cañete la Real",164.97,1665
"12","36","009","7","Cañiza, A",105.04,5180
"07","49","034","3","Cañizal",35.29,456
"08","19","066","8","Cañizar",15.41,54
"02","44","063","0","Cañizar del Olivar",22.29,100
"08","16","053","4","Cañizares",76.17,439
"07","49","035","6","Cañizo",41.85,233
"09","43","039","8","Capafonts",13.43,121
"15","31","065","4","Caparroso",80.82,2766
"09","43","040","2","Capçanes",22.39,398
"04","07","014","6","Capdepera",54.92,11868
"02","22","079","7","Capdesaso",17.7,198
"12","15","018","3","Capela, A",58,1232
"02","22","080","1","Capella",60.71,349
"09","08","044","6","Capellades",2.92,5293
"01","18","042","3","Capileira",56.9,554
"11","06","030","3","Capilla",146.99,182
"07","34","045","5","Capillas",18.27,75
"09","17","042","7","Capmany",26.53,613
"09","08","045","9","Capolat",34.31,94
"07","42","051","0","Carabantes",16.31,15
"13","28","035","7","Carabaña",47.58,2010
"07","40","161","5","Carabias",25.86,57
"07","42","052","5","Caracena",18.15,17
"08","13","030","0","Caracuel de Calatrava",9.92,134
"01","18","043","9","Carataunas",4.66,194
"14","30","015","8","Caravaca de la Cruz",860.2,25760
"03","33","013","8","Caravia",13.25,477
"07","09","070","9","Carazo",24.03,33
"07","49","036","9","Carbajales de Alba",53.69,525
"11","10","046","9","Carbajo",27.94,200
"07","37","085","8","Carbajosa de la Sagrada",13.71,7116
"12","32","018","5","Carballeda de Avia",46.37,1286
"12","32","017","9","Carballeda de Valdeorras",222.69,1545
"12","27","009","5","Carballedo",138.85,2193
"12","32","019","8","Carballiño, O",54.33,14027
"12","15","019","6","Carballo",186.09,31349
"07","49","037","5","Carbellino",32.79,189
"01","04","032","9","Carboneras",95.46,8004
"08","16","055","2","Carboneras de Guadazaón",100.65,811
"07","40","043","2","Carbonero el Mayor",66.35,2519
"01","23","021","7","Carboneros",58.61,615
"11","10","047","5","Carcaboso",20.3,1100
"01","14","015","5","Carcabuey",79.82,2412
"10","46","083","2","Carcaixent",59.25,20358
"15","31","066","7","Cárcar",40.45,1069
"15","31","067","3","Carcastillo",97,2495
"07","09","071","6","Carcedo de Bureba",42.66,42
"07","09","072","1","Carcedo de Burgos",25.68,399
"08","02","020","8","Carcelén",75.36,501
"10","46","084","7","Càrcer",7.41,1862
"01","23","901","2","Cárcheles",40.5,1363
"09","08","046","2","Cardedeu",12.24,18357
"17","26","041","4","Cárdenas",3.98,136
"08","16","056","5","Cardenete",97.51,496
"01","14","016","8","Cardeña",513.42,1490
"07","09","073","7","Cardeñadijo",9.21,1341
"07","09","074","2","Cardeñajimeno",12.19,1105
"07","05","049","2","Cardeñosa",40.5,447
"07","34","046","8","Cardeñosa de Volpejera",13.7,50
"07","09","075","5","Cardeñuela Riopico",11.31,115
"08","45","035","8","Cardiel de los Montes",24.31,355
"09","08","047","8","Cardona",66.43,4636
"08","19","067","4","Cardoso de la Sierra, El",186.78,60
"02","50","072","6","Carenas",31.22,213
"02","50","073","2","Cariñena",82.51,3302
"12","15","901","2","Cariño",47.19,3838
"10","46","085","0","Carlet",45.62,15598
"01","14","017","4","Carlota, La",79.08,14061
"09","08","048","4","Carme",11.33,765
"08","45","036","1","Carmena",46.7,743
"07","24","037","8","Cármenes",154.09,352
"01","41","024","8","Carmona",922.07,28531
"11","06","031","0","Carmonita",39.22,540
"12","15","020","0","Carnota",70.9,3957
"01","23","024","3","Carolina, La",201.37,15261
"07","47","035","7","Carpio",56.5,1016
"07","37","086","1","Carpio de Azaba",70.45,112
"08","45","037","7","Carpio de Tajo, El",113.58,1838
"01","14","018","0","Carpio, El",46.68,4383
"07","24","038","4","Carracedelo",32.43,3425
"12","15","021","7","Carral",48.03,6408
"08","45","038","3","Carranque",24.72,4846
"07","37","087","7","Carrascal de Barregas",76.6,1206
"07","37","088","3","Carrascal del Obispo",40.97,209
"07","40","044","7","Carrascal del Río",30.52,147
"11","10","048","1","Carrascalejo",48.48,216
"11","06","032","5","Carrascalejo, El",12.77,83
"08","16","057","1","Carrascosa",71.47,70
"07","42","053","1","Carrascosa de Abajo",23.55,21
"08","16","058","7","Carrascosa de Haro",29.05,106
"07","42","054","6","Carrascosa de la Sierra",12.76,19
"01","29","036","3","Carratraca",22.56,731
"03","33","014","3","Carreño",66.75,10337
"07","05","051","2","Carrera, La",14.16,175
"07","09","076","8","Carrias",13.26,26
"08","45","039","6","Carriches",18.67,262
"10","46","086","3","Carrícola",4.6,94
"08","13","031","7","Carrión de Calatrava",95.49,3082
"01","41","025","1","Carrión de los Céspedes",6.03,2544
"07","34","047","4","Carrión de los Condes",63.33,2069
"07","24","039","7","Carrizo",41.85,2228
"08","13","032","2","Carrizosa",26.04,1212
"07","24","040","1","Carrocera",65.98,451
"14","30","016","1","Cartagena",560.19,214802
"01","29","037","9","Cartajima",21.47,253
"01","29","038","5","Cártama",105.1,26259
"01","21","021","6","Cartaya",225.32,19974
"12","32","020","2","Cartelle",94.29,2642
"06","39","018","7","Cartes",18.93,5747
"07","24","041","8","Carucedo",35,562
"08","19","070","7","Casa de Uceda",21.38,89
"01","29","039","8","Casabermeja",67.28,3522
"07","37","089","6","Casafranca",29.61,65
"17","26","042","9","Casalarreina",8.13,1098
"11","10","049","4","Casar de Cáceres",130.3,4469
"08","45","040","0","Casar de Escalona, El",39.55,1725
"11","10","050","7","Casar de Palomero",36.91,1133
"08","19","071","4","Casar, El",51.84,12062
"01","29","040","2","Casarabonela",113.74,2502
"07","42","055","9","Casarejos",28.08,169
"01","29","041","9","Casares",162.34,6515
"11","10","051","4","Casares de las Hurdes",20.75,417
"01","41","026","4","Casariche",52.9,5456
"08","45","041","7","Casarrubios del Monte",92.42,5681
"13","28","036","0","Casarrubuelos",5.32,3778
"10","46","087","9","Casas Altas",15.95,131
"10","46","088","5","Casas Bajas",22.65,164
"08","16","060","4","Casas de Benítez",46.76,852
"11","10","052","9","Casas de Don Antonio",31.42,174
"11","10","053","5","Casas de Don Gómez",31.16,289
"11","06","033","1","Casas de Don Pedro",144.54,1439
"08","16","061","1","Casas de Fernando Alonso",30.28,1169
"08","16","062","6","Casas de Garcimolina",38.69,29
"08","16","063","2","Casas de Guijarro",8.2,117
"08","16","064","7","Casas de Haro",110.88,823
"08","02","021","5","Casas de Juan Núñez",88.98,1307
"08","02","022","0","Casas de Lázaro",112.32,363
"08","16","065","0","Casas de los Pinos",68.21,440
"11","10","056","6","Casas de Millán",152.91,567
"11","10","057","2","Casas de Miravete",50.58,132
"11","06","034","6","Casas de Reina",49.8,196
"08","19","073","5","Casas de San Galindo",11.61,16
"08","02","023","6","Casas de Ves",125.09,572
"11","10","054","0","Casas del Castañar",24.63,568
"07","37","090","0","Casas del Conde, Las",1.26,69
"11","10","055","3","Casas del Monte",27.61,820
"07","05","052","7","Casas del Puerto",22.14,89
"08","45","042","2","Casasbuenas",30.46,201
"07","49","038","1","Casaseca de Campeán",12.24,99
"07","49","039","4","Casaseca de las Chanas",12.56,390
"08","02","024","1","Casas-Ibáñez",103.25,4538
"08","16","066","3","Casasimarro",49.62,3084
"07","05","053","3","Casasola",18.36,75
"07","47","036","0","Casasola de Arión",27.73,249
"11","10","058","8","Casatejada",111.82,1360
"07","05","054","8","Casavieja",39.25,1424
"02","22","081","8","Casbas de Huesca",132.69,270
"07","09","077","4","Cascajares de Bureba",7.92,32
"07","09","078","0","Cascajares de la Sierra",6.81,37
"15","31","068","9","Cascante",62.93,3864
"02","44","064","5","Cascante del Río",32.38,67
"15","31","069","2","Cáseda",85.61,974
"09","43","041","9","Caseres",42.79,259
"07","05","055","1","Casillas",11.99,638
"11","10","059","1","Casillas de Coria",61.97,349
"07","37","091","7","Casillas de Flores",42.6,178
"10","46","089","8","Casinos",41.48,2777
"07","40","045","0","Casla",17.59,165
"03","33","015","6","Caso",307.94,1507
"02","50","074","7","Caspe",503.15,9748
"08","19","074","0","Caspueñas",14.79,81
"09","17","044","8","Cassà de la Selva",45.43,10380
"09","08","049","7","Casserres",29.38,1608
"10","03","053","5","Castalla",114.6,10124
"11","10","060","5","Castañar de Ibor",146.97,1054
"17","26","043","5","Castañares de Rioja",10.94,415
"06","39","019","0","Castañeda",19.22,2914
"01","21","022","1","Castaño del Robledo",12.93,223
"01","18","044","4","Cástaras",28.36,249
"08","16","067","9","Castejón",43.62,144
"15","31","070","6","Castejón",18.07,4163
"02","50","075","0","Castejón de Alarba",17.56,91
"08","19","075","3","Castejón de Henares",15.95,65
"02","50","076","3","Castejón de las Armas",16.19,87
"02","22","083","9","Castejón de Monegros",165.33,522
"02","22","084","4","Castejón de Sos",31.55,747
"02","44","065","8","Castejón de Tornos",30.9,60
"02","50","077","9","Castejón de Valdejasa",110.12,210
"02","22","082","3","Castejón del Puente",25.43,318
"02","44","066","1","Castel de Cabra",29.44,96
"02","22","085","7","Castelflorite",34.76,106
"10","12","037","9","Castell de Cabres",30.72,17
"10","03","054","0","Castell de Castells",45.93,449
"10","03","075","9","Castell de Guadalest, el",15.96,217
"09","08","057","5","Castell de l'Areny",24.81,68
"09","25","904","6","Castell de Mur",63,183
"04","07","064","5","Castell, Es",11.63,7434
"07","09","079","3","Castellanos de Castro",9.93,51
"07","37","092","2","Castellanos de Moriscos",13.84,2677
"07","37","185","7","Castellanos de Villiquera",28.75,617
"07","05","056","4","Castellanos de Zapardiel",12.7,97
"01","23","025","6","Castellar",157.36,3314
"01","11","013","1","Castellar de la Frontera",180.28,3049
"08","19","076","6","Castellar de la Muela",21.38,22
"09","25","064","2","Castellar de la Ribera",60.27,134
"09","08","052","2","Castellar de n'Hug",46.83,159
"08","13","033","8","Castellar de Santiago",95.5,1897
"09","08","050","0","Castellar del Riu",32.89,169
"09","08","051","7","Castellar del Vallès",45.17,24187
"02","44","070","0","Castellar, El",50.33,58
"09","08","053","8","Castellbell i el Vilar",28.52,3647
"09","08","054","3","Castellbisbal",30.98,12390
"09","08","055","6","Castellcir",33.96,752
"09","25","067","4","Castelldans",64.32,960
"09","08","056","9","Castelldefels",12.81,67004
"09","08","058","1","Castellet i la Gornal",47.19,2292
"09","17","046","4","Castellfollit de la Roca",0.73,961
"09","08","060","8","Castellfollit de Riubregós",26.29,151
"09","08","059","4","Castellfollit del Boix",59.39,436
"10","12","038","5","Castellfort",66.74,183
"09","08","061","5","Castellgalí",17.29,2062
"09","08","062","0","Castellnou de Bages",29.14,1397
"09","25","068","0","Castellnou de Seana",16.31,683
"10","12","039","8","Castellnovo",19.2,917
"09","25","069","3","Castelló de Farfanya",52.62,536
"10","12","040","2","Castelló de la Plana",111.33,170888
"10","46","090","2","Castelló de Rugat",19.02,2274
"09","17","047","0","Castelló d'Empúries",42.25,10906
"09","08","063","6","Castellolí",25.35,619
"10","46","091","9","Castellonet de la Conquesta",5.43,147
"02","44","071","7","Castellote",235.18,681
"09","17","048","6","Castell-Platja d'Aro",21.68,10860
"09","25","070","7","Castellserà",15.86,1003
"09","08","064","1","Castellterçol",31.76,2463
"09","43","042","4","Castellvell del Camp",5.17,2857
"09","08","065","4","Castellví de la Marca",28.7,1535
"09","08","066","7","Castellví de Rosanes",16.38,1884
"02","44","067","7","Castelnou",36.65,141
"02","44","068","3","Castelserás",31.52,815
"10","46","092","4","Castielfabib",106.29,317
"02","22","086","0","Castiello de Jaca",17.31,243
"02","22","087","6","Castigaleu",26.53,84
"07","09","083","5","Castil de Peones",13.98,27
"07","34","048","0","Castil de Vela",23.86,64
"11","06","035","9","Castilblanco",132.24,951
"01","41","027","0","Castilblanco de los Arroyos",323.55,4864
"07","09","082","9","Castildelgado",4.95,36
"07","24","042","3","Castilfalé",25.9,69
"08","19","078","8","Castilforte",33.97,55
"07","42","056","2","Castilfrío de la Sierra",12.16,29
"02","50","078","5","Castiliscar",40.68,263
"02","22","088","2","Castillazuelo",15.32,162
"01","41","028","6","Castilleja de Guzmán",2.04,2821
"01","41","029","9","Castilleja de la Cuesta",2.17,17418
"01","41","030","3","Castilleja del Campo",16.22,629
"01","18","045","7","Castilléjar",131.32,1318
"08","16","068","5","Castillejo de Iniesta",27.7,159
"07","37","096","9","Castillejo de Martín Viejo",155.67,222
"07","40","046","3","Castillejo de Mesleón",27.24,136
"07","42","058","4","Castillejo de Robledo",52.98,103
"08","16","070","2","Castillejo-Sierra",30.37,28
"08","45","043","8","Castillo de Bayuela",37.32,938
"08","16","072","4","Castillo de Garcimuñoz",82.21,134
"01","41","031","0","Castillo de las Guardas, El",258.74,1443
"01","23","026","9","Castillo de Locubín",102.55,4058
"10","12","041","9","Castillo de Villamalefa",37.74,107
"08","16","071","9","Castillo-Albaráñez",12.43,22
"02","22","089","5","Castillonroy",37.59,313
"15","31","071","3","Castillonuevo",26.34,16
"08","19","079","1","Castilnuevo",19.54,8
"07","42","057","8","Castilruiz",38.81,162
"07","37","097","5","Castraz",30.37,44
"07","34","049","3","Castrejón de la Peña",106.4,345
"07","47","037","6","Castrejón de Trabancos",30.2,174
"12","32","022","4","Castrelo de Miño",39.74,1349
"12","32","021","9","Castrelo do Val",122.05,984
"01","18","046","0","Castril",243.26,2070
"07","24","043","9","Castrillo de Cabrera",115.87,119
"07","34","050","6","Castrillo de Don Juan",48.94,207
"07","47","038","2","Castrillo de Duero",25.81,111
"07","49","040","8","Castrillo de la Guareña",21.91,125
"07","09","084","0","Castrillo de la Reina",14.45,177
"07","24","044","4","Castrillo de la Valduerna",23.51,158
"07","09","085","3","Castrillo de la Vega",26.42,621
"07","34","051","3","Castrillo de Onielo",40.27,98
"07","09","088","8","Castrillo de Riopisuerga",17.44,61
"07","34","052","8","Castrillo de Villavega",33.94,174
"07","09","086","6","Castrillo del Val",22.54,796
"07","09","090","5","Castrillo Mota de Judíos",22.05,51
"03","33","016","9","Castrillón",55.34,22376
"07","47","039","5","Castrillo-Tejeriego",35.92,171
"12","32","023","0","Castro Caldelas",87.61,1224
"01","04","033","5","Castro de Filabres",29.24,123
"07","40","047","9","Castro de Fuentidueña",19.72,31
"12","27","010","9","Castro de Rei",176.97,5052
"01","14","019","3","Castro del Río",219.74,7809
"07","47","040","9","Castrobol",16.87,61
"07","24","046","0","Castrocalbón",88.3,964
"07","24","047","6","Castrocontrigo",194.49,765
"07","47","041","6","Castrodeza",15.97,160
"07","49","041","5","Castrogonzalo",25.03,471
"07","09","091","2","Castrojeriz",136.07,796
"07","40","048","5","Castrojimeno",18.32,35
"07","47","042","1","Castromembibre",16.85,54
"07","34","053","4","Castromocho",52.96,225
"07","47","043","7","Castromonte",87.01,320
"07","49","042","0","Castronuevo",48.09,228
"07","47","044","2","Castronuevo de Esgueva",29.21,369
"07","47","045","5","Castronuño",124.46,828
"07","24","049","5","Castropodame",59.6,1628
"03","33","017","5","Castropol",125.44,3402
"07","47","046","8","Castroponce",24.87,143
"07","40","049","8","Castroserna de Abajo",12.62,40
"07","40","051","8","Castroserracín",21.05,42
"07","24","050","8","Castrotierra de Valmadrigal",23.5,115
"06","39","020","4","Castro-Urdiales",96.06,32069
"12","27","011","6","Castroverde",174.15,2617
"07","49","043","6","Castroverde de Campos",64.4,287
"07","47","047","4","Castroverde de Cerrato",32.46,221
"17","26","044","0","Castroviejo",20.75,54
"11","06","036","2","Castuera",432.04,5880
"10","46","093","0","Catadau",35.46,2777
"10","46","094","5","Catarroja",13.16,28120
"10","12","042","4","Catí",102.35,721
"09","43","043","0","Catllar, El",26.33,4451
"12","36","010","1","Catoira",29.44,3335
"10","03","055","3","Catral",20.02,8639
"08","02","025","4","Caudete",141.63,9963
"10","46","095","8","Caudete de las Fuentes",34.6,700
"10","12","043","0","Caudiel",62.38,664
"09","25","071","4","Cava",41.64,47
"07","09","063","9","Cavia",12.98,242
"07","09","093","3","Cayuela",13.47,184
"08","45","045","6","Cazalegas",29.48,1750
"01","23","027","5","Cazalilla",46.63,824
"01","41","032","5","Cazalla de la Sierra",356.15,4718
"01","23","028","1","Cazorla",305.4,7441
"07","49","044","1","Cazurra",8.39,79
"07","24","051","5","Cea",112.34,413
"07","24","052","0","Cebanico",89.75,147
"08","45","046","9","Cebolla",36.77,3235
"07","09","094","8","Cebrecos",23.3,53
"07","05","057","0","Cebreros",137.47,3120
"07","24","053","6","Cebrones del Río",21.24,451
"11","10","061","2","Ceclavín",159.49,1840
"12","15","022","2","Cedeira",85.42,6640
"11","10","062","7","Cedillo",61.56,440
"07","40","052","3","Cedillo de la Torre",23.74,89
"08","45","047","5","Cedillo del Condado",26.45,3762
"02","44","074","3","Cedrillas",73.57,664
"12","15","023","8","Cee",57.45,7546
"14","30","017","7","Cehegín",300.12,14983
"07","47","048","0","Ceinos de Campos",36.11,211
"07","09","095","1","Celada del Camino",12.57,123
"02","44","075","6","Celadas",100.45,388
"12","32","024","5","Celanova",67.31,5649
"02","44","076","9","Cella",124.68,2574
"09","17","189","9","Cellera de Ter, La",14.65,1946
"17","26","045","3","Cellorigo",12.43,11
"09","17","049","9","Celrà",19.69,5452
"15","31","193","9","Cendea de Olza/Oltza Zendea",41.25,1831
"08","19","080","5","Cendejas de Enmedio",19.09,72
"08","19","081","2","Cendejas de la Torre",14.27,24
"01","18","047","6","Cenes de la Vega",6.49,8002
"17","26","046","6","Cenicero",31.76,2076
"13","28","037","6","Cenicientos",67.49,2033
"08","02","026","7","Cenizate",63.26,1181
"12","32","025","8","Cenlle",29.03,1120
"09","08","067","3","Centelles",15.35,7404
"08","19","082","7","Centenera",17.41,117
"07","42","059","7","Centenera de Andaluz",19.87,20
"07","37","098","1","Cepeda",10.73,311
"07","05","058","6","Cepeda la Mora",31.4,74
"07","42","060","1","Cerbón",18.02,28
"12","15","024","3","Cerceda",111.27,5001
"13","28","038","2","Cercedilla",35.78,7026
"09","08","268","7","Cercs",47.2,1145
"10","46","096","1","Cerdà",1.52,331
"09","08","266","5","Cerdanyola del Vallès",30.83,57403
"12","36","902","6","Cerdedo-Cotobade",213.27,5699
"12","15","025","6","Cerdido",52.72,1113
"07","37","099","4","Cereceda de la Sierra",15.48,64
"07","49","046","7","Cerecinos de Campos",28.58,259
"07","49","047","3","Cerecinos del Carrizal",17.24,112
"07","37","100","8","Cerezal de Peñahorcada",17.93,78
"11","10","063","3","Cerezo",18.14,165
"07","40","053","9","Cerezo de Abajo",19.89,112
"07","40","054","4","Cerezo de Arriba",48.86,136
"07","09","098","6","Cerezo de Río Tirón",63.7,555
"07","49","048","9","Cernadilla",36.12,114
"02","44","077","5","Cerollera, La",33.75,93
"07","37","101","5","Cerralbo",51.59,146
"08","45","048","1","Cerralbos, Los",40.15,421
"07","09","100","3","Cerratón de Juarros",16.25,62
"01","21","023","7","Cerro de Andévalo, El",286.12,2364
"07","37","102","0","Cerro, El",25.86,407
"12","27","012","1","Cervantes",277.63,1338
"07","34","055","2","Cervatos de la Cueza",71.46,280
"09","08","068","9","Cervelló",24.21,9054
"09","25","072","9","Cervera",55.21,9180
"13","28","039","5","Cervera de Buitrago",12.02,150
"02","50","079","8","Cervera de la Cañada",29.22,271
"08","45","049","4","Cervera de los Montes",31.69,517
"07","34","056","5","Cervera de Pisuerga",326.36,2333
"08","16","073","0","Cervera del Llano",55.49,221
"10","12","044","5","Cervera del Maestre",93.24,575
"17","26","047","2","Cervera del Río Alhama",152.56,2294
"02","50","080","2","Cerveruela",23.49,33
"09","25","073","5","Cervià de les Garrigues",34.04,640
"09","17","050","2","Cervià de Ter",10.09,968
"07","47","049","3","Cervillego de la Cruz",21.33,90
"12","27","013","7","Cervo",77.86,4227
"07","37","103","6","Cespedosa de Tormes",46.29,495
"02","50","081","9","Cetina",78.76,593
"18","51","001","3","Ceuta",19.87,84777
"14","30","018","3","Ceutí",10.3,11787
"07","34","057","1","Cevico de la Torre",50.85,491
"07","34","058","7","Cevico Navero",44.05,194
"07","37","114","9","Chagarcía Medianero",14.71,82
"02","22","094","2","Chalamera",11.5,106
"07","05","067","8","Chamartín",15.45,76
"12","32","029","6","Chandrexa de Queixa",171.81,456
"12","27","016","8","Chantada",176.73,8192
"07","40","065","5","Chañe",35.26,736
"13","28","051","3","Chapinería",25.4,2328
"01","18","059","2","Chauchina",21.21,5565
"08","19","103","9","Checa",181.43,282
"11","06","042","3","Cheles",47.94,1176
"10","46","107","5","Chella",43.49,2435
"10","46","106","9","Chelva",190.38,1489
"08","19","104","4","Chequilla",15.3,18
"10","46","108","1","Chera",49.7,474
"01","04","036","6","Chercos",13.55,278
"10","46","109","4","Cheste",71.44,8494
"02","22","095","5","Chía",26.1,83
"01","11","015","9","Chiclana de la Frontera",205.86,84489
"01","23","029","4","Chiclana de Segura",235.99,965
"10","12","053","7","Chilches/Xilxes",13.58,2679
"08","16","023","1","Chillarón de Cuenca",39.17,617
"08","19","106","0","Chillarón del Rey",17.29,88
"08","13","038","1","Chillón",207.78,1816
"01","23","030","8","Chilluévar",38.78,1434
"08","19","105","7","Chiloeches",45.38,3579
"01","18","061","3","Chimeneas",90.33,1257
"02","22","096","8","Chimillas",10.04,393
"08","02","029","2","Chinchilla de Monte-Aragón",679.27,4206
"13","28","052","8","Chinchón",115.91,5331
"01","11","016","2","Chipiona",32.9,19123
"02","50","092","2","Chiprana",38.98,523
"01","04","037","2","Chirivel",196.47,1472
"10","46","111","5","Chiva",178.73,15123
"02","50","093","8","Chodes",15.97,104
"10","12","055","5","Chodos/Xodos",44.27,112
"10","12","056","8","Chóvar",18.31,288
